Microsoft SEAL version: 4.1.2
Running precomputations ...
[   2750 MB] Total allocation from the memory pool
Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
2026-05-20T19:33:01+08:00
Running /Users/yunhaowang/mk-rlwe-prototype/SEAL/build/bin/sealbench
Run on (8 X 24.1203 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 4.03, 5.59, 5.00
---------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations
n=8192 / log(q)=218 / BGV / DecodeBatch/iterations:10                       130 us          121 us           10
n=8192 / log(q)=218 / BGV / EvaluateNegate/iterations:10                   74.2 us         72.2 us           10
n=8192 / log(q)=218 / BGV / EvaluateNegateInplace/iterations:10            54.2 us         50.1 us           10
n=8192 / log(q)=218 / BGV / EvaluateAddCt/iterations:10                    87.8 us         85.3 us           10
n=8192 / log(q)=218 / BGV / EvaluateAddCtInplace/iterations:10             91.7 us         79.1 us           10
n=8192 / log(q)=218 / BGV / EvaluateAddPt/iterations:10                     697 us          643 us           10
n=8192 / log(q)=218 / BGV / EvaluateAddPtInplace/iterations:10              656 us          618 us           10
n=8192 / log(q)=218 / BGV / EvaluateMulCt/iterations:10                     469 us          431 us           10
n=8192 / log(q)=218 / BGV / EvaluateMulCtInplace/iterations:10              441 us          413 us           10
n=8192 / log(q)=218 / BGV / EvaluateMulPt/iterations:10                     853 us          786 us           10
n=8192 / log(q)=218 / BGV / EvaluateMulPtInplace/iterations:10              842 us          771 us           10
n=8192 / log(q)=218 / BGV / EvaluateSquare/iterations:10                    400 us          361 us           10
n=8192 / log(q)=218 / BGV / EvaluateSquareInplace/iterations:10             389 us          349 us           10
n=8192 / log(q)=218 / BGV / EvaluateModSwitchInplace/iterations:10         1283 us         1127 us           10
n=8192 / log(q)=218 / BGV / EvaluateRelinInplace/iterations:10             6106 us         3755 us           10
n=8192 / log(q)=218 / BGV / EvaluateRotateRows/iterations:10               3957 us         3737 us           10
n=8192 / log(q)=218 / BGV / EvaluateRotateRowsInplace/iterations:10        4000 us         3737 us           10
n=8192 / log(q)=218 / BGV / EvaluateRotateCols/iterations:10               4043 us         3801 us           10
n=8192 / log(q)=218 / BGV / EvaluateRotateColsInplace/iterations:10        4021 us         3745 us           10
n=8192 / log(q)=218 / BGV / EvaluateToNTTInplace/iterations:10              864 us          818 us           10
n=8192 / log(q)=218 / BGV / EvaluateFromNTTInplace/iterations:10            665 us          623 us           10
n=8192 / log(q)=218 / CKKS / EncryptSecret/iterations:10                   2551 us         2346 us           10
n=8192 / log(q)=218 / CKKS / EncryptPublic/iterations:10                   4563 us         4267 us           10
n=8192 / log(q)=218 / CKKS / Decrypt/iterations:10                          192 us          176 us           10
n=8192 / log(q)=218 / CKKS / EncodeDouble/iterations:10                     712 us          679 us           10
n=8192 / log(q)=218 / CKKS / DecodeDouble/iterations:10                    1573 us         1450 us           10
n=8192 / log(q)=218 / CKKS / EvaluateAddCt/iterations:10                    101 us         92.6 us           10
n=8192 / log(q)=218 / CKKS / EvaluateAddPt/iterations:10                   47.2 us         46.8 us           10
n=8192 / log(q)=218 / CKKS / EvaluateNegate/iterations:10                  88.5 us         73.0 us           10
n=8192 / log(q)=218 / CKKS / EvaluateSubCt/iterations:10                   85.0 us         78.2 us           10
n=8192 / log(q)=218 / CKKS / EvaluateSubPt/iterations:10                   59.9 us         52.5 us           10
n=8192 / log(q)=218 / CKKS / EvaluateMulCt/iterations:10                    496 us          443 us           10
n=8192 / log(q)=218 / CKKS / EvaluateMulPt/iterations:10                    208 us          197 us           10
n=8192 / log(q)=218 / CKKS / EvaluateSquare/iterations:10                   483 us          387 us           10
n=8192 / log(q)=218 / CKKS / EvaluateRescaleInplace/iterations:10           909 us          816 us           10
n=8192 / log(q)=218 / CKKS / EvaluateRelinInplace/iterations:10            3588 us         3320 us           10
n=8192 / log(q)=218 / CKKS / EvaluateRotate/iterations:10                  5723 us         3760 us           10
n=8192 / log(q)=218 / UTIL / NTTForward/iterations:10                       860 us          819 us           10
n=8192 / log(q)=218 / UTIL / NTTInverse/iterations:10                       668 us          640 us           10
n=8192 / log(q)=0 / UTIL / NTTForwardLowLevel/iterations:10                 114 us          106 us           10
n=8192 / log(q)=0 / UTIL / NTTInverseLowLevel/iterations:10                 107 us         93.8 us           10
n=8192 / log(q)=0 / UTIL / NTTForwardLowLevelLazy/iterations:10            73.7 us         72.3 us           10
n=8192 / log(q)=0 / UTIL / NTTInverseLowLevelLazy/iterations:10            90.0 us         82.5 us           10
n=16384 / log(q)=438 / KeyGen / Secret/iterations:10                       3324 us         3144 us           10
n=16384 / log(q)=438 / KeyGen / Public/iterations:10                       9716 us         9130 us           10
n=16384 / log(q)=438 / KeyGen / Relin/iterations:10                       85564 us        76234 us           10
n=16384 / log(q)=438 / KeyGen / Galois/iterations:10                      80011 us        73632 us           10
n=16384 / log(q)=438 / BFV / EncryptSecret/iterations:10                  11064 us        10087 us           10
n=16384 / log(q)=438 / BFV / EncryptPublic/iterations:10                  16948 us        12824 us           10
n=16384 / log(q)=438 / BFV / Decrypt/iterations:10                         4992 us         4541 us           10
n=16384 / log(q)=438 / BFV / EncodeBatch/iterations:10                      196 us          192 us           10
n=16384 / log(q)=438 / BFV / DecodeBatch/iterations:10                      279 us          266 us           10
n=16384 / log(q)=438 / BFV / EvaluateAddCt/iterations:10                    382 us          369 us           10
n=16384 / log(q)=438 / BFV / EvaluateAddPt/iterations:10                    691 us          651 us           10
n=16384 / log(q)=438 / BFV / EvaluateNegate/iterations:10                   252 us          246 us           10
n=16384 / log(q)=438 / BFV / EvaluateSubCt/iterations:10                    336 us          315 us           10
n=16384 / log(q)=438 / BFV / EvaluateSubPt/iterations:10                    646 us          626 us           10
n=16384 / log(q)=438 / BFV / EvaluateMulCt/iterations:10                  55749 us        51176 us           10
n=16384 / log(q)=438 / BFV / EvaluateMulPt/iterations:10                   9285 us         8635 us           10
